old_index,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,waterfront_encoded,view_encoded,property_typ_apartment,property_typ_multi_generation_house,property_typ_semi_detached_house,property_typ_single_family_house,property_typ_top_floor_apartment
0,221900,3,1.0,1180,5650,1.0,3,7.0,0,1955,0,0,1.0,0.0,0.0,0.0,0.0
1,538000,3,2.25,2570,7242,2.0,3,7.0,400,1951,0,0,0.0,0.0,1.0,0.0,0.0
2,180000,2,1.0,770,10000,1.0,3,6.0,0,1933,0,0,1.0,0.0,0.0,0.0,0.0
3,604000,4,3.0,1960,5000,1.0,5,7.0,910,1965,0,0,0.0,0.0,1.0,0.0,0.0
4,510000,3,2.0,1680,8080,1.0,3,8.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
6,257500,3,2.25,1715,6819,2.0,3,7.0,0,1995,0,0,1.0,0.0,0.0,0.0,0.0
7,291850,3,1.5,1060,9711,1.0,3,7.0,0,1963,0,0,1.0,0.0,0.0,0.0,0.0
8,229500,3,1.0,1780,7470,1.0,3,7.0,730,1960,0,0,0.0,0.0,1.0,0.0,0.0
9,323000,3,2.5,1890,6560,2.0,3,7.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
11,468000,2,1.0,1160,6000,1.0,4,7.0,300,1942,0,0,0.0,0.0,1.0,0.0,0.0
12,310000,3,1.0,1430,19901,1.5,4,7.0,0,1927,0,0,1.0,0.0,0.0,0.0,0.0
13,400000,3,1.75,1370,9680,1.0,4,7.0,0,1977,0,0,1.0,0.0,0.0,0.0,0.0
14,530000,5,2.0,1810,4850,1.5,3,7.0,0,1900,0,0,1.0,0.0,0.0,0.0,0.0
15,650000,4,3.0,2950,5000,2.0,3,9.0,970,1979,0,3,0.0,0.0,0.0,1.0,0.0
16,395000,3,2.0,1890,14040,2.0,3,7.0,0,1994,0,0,1.0,0.0,0.0,0.0,0.0
17,485000,4,1.0,1600,4300,1.5,4,7.0,0,1916,0,0,1.0,0.0,0.0,0.0,0.0
18,189000,2,1.0,1200,9850,1.0,4,7.0,0,1921,0,0,1.0,0.0,0.0,0.0,0.0
19,230000,3,1.0,1250,9774,1.0,4,7.0,0,1969,0,0,1.0,0.0,0.0,0.0,0.0
20,385000,4,1.75,1620,4980,1.0,4,7.0,760,1947,0,0,0.0,0.0,1.0,0.0,0.0
22,285000,5,2.5,2270,6300,2.0,3,8.0,0,1995,0,0,1.0,0.0,0.0,0.0,0.0
23,252700,2,1.5,1070,9643,1.0,3,7.0,0,1985,0,0,1.0,0.0,0.0,0.0,0.0
24,329000,3,2.25,2450,6500,2.0,4,8.0,0,1985,0,0,1.0,0.0,0.0,0.0,0.0
25,233000,3,2.0,1710,4697,1.5,5,6.0,0,1941,0,0,1.0,0.0,0.0,0.0,0.0
26,937000,3,1.75,2450,2691,2.0,3,8.0,700,1915,0,0,0.0,0.0,1.0,0.0,0.0
27,667000,3,1.0,1400,1581,1.5,5,8.0,0,1909,0,0,1.0,0.0,0.0,0.0,0.0
28,438000,3,1.75,1520,6380,1.0,3,7.0,730,1948,0,0,0.0,0.0,1.0,0.0,0.0
29,719000,4,2.5,2570,7173,2.0,3,8.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
30,580500,3,2.5,2320,3980,2.0,3,8.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
31,280000,2,1.5,1190,1265,3.0,3,7.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
32,687500,4,1.75,2330,5000,1.5,4,7.0,820,1929,0,0,0.0,0.0,1.0,0.0,0.0
33,535000,3,1.0,1090,3000,1.5,4,8.0,0,1929,0,0,1.0,0.0,0.0,0.0,0.0
34,322500,4,2.75,2060,6659,1.0,3,7.0,780,1981,0,0,0.0,0.0,1.0,0.0,0.0
35,696000,3,2.5,2300,3060,1.5,3,8.0,790,1930,0,0,0.0,0.0,1.0,0.0,0.0
37,640000,4,2.0,2360,6000,2.0,4,8.0,0,1904,0,0,1.0,0.0,0.0,0.0,0.0
38,240000,4,1.0,1220,8075,1.0,2,7.0,330,1969,0,0,0.0,0.0,1.0,0.0,0.0
39,605000,4,2.5,2620,7553,2.0,3,8.0,0,1996,0,0,1.0,0.0,0.0,0.0,0.0
40,625000,4,2.5,2570,5520,2.0,3,9.0,0,2000,0,0,1.0,0.0,0.0,0.0,0.0
42,861990,5,2.75,3595,5639,2.0,3,9.0,0,2014,0,0,1.0,0.0,0.0,0.0,0.0
43,685000,3,1.0,1570,2280,2.0,3,7.0,0,1922,0,0,1.0,0.0,0.0,0.0,0.0
44,309000,3,1.0,1280,9656,1.0,4,6.0,360,1959,0,0,0.0,0.0,1.0,0.0,0.0
45,488000,3,2.5,3160,13603,2.0,3,8.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
46,210490,3,1.0,990,8528,1.0,3,6.0,0,1966,0,0,1.0,0.0,0.0,0.0,0.0
47,785000,4,2.5,2290,13416,2.0,4,9.0,0,1981,0,0,1.0,0.0,0.0,0.0,0.0
48,450000,3,1.75,1250,5963,1.0,4,7.0,0,1953,0,0,1.0,0.0,0.0,0.0,0.0
49,1350000,3,2.5,2753,65005,1.0,5,9.0,588,1953,1,2,0.0,0.0,0.0,1.0,0.0
50,228000,3,1.0,1190,9199,1.0,3,7.0,0,1955,0,0,1.0,0.0,0.0,0.0,0.0
51,345000,5,2.5,3150,9134,1.0,4,8.0,1510,1966,0,0,0.0,0.0,1.0,0.0,0.0
52,600000,3,1.75,1410,4080,1.0,4,7.0,410,1950,0,0,0.0,0.0,1.0,0.0,0.0
53,585000,2,1.75,1980,8550,1.0,3,7.0,990,1981,0,0,0.0,0.0,1.0,0.0,0.0
54,920000,5,2.25,2730,6000,1.5,3,8.0,600,1927,0,0,0.0,0.0,1.0,0.0,0.0
55,885000,4,2.5,2830,5000,2.0,3,9.0,0,1995,0,0,1.0,0.0,0.0,0.0,0.0
56,292500,4,2.5,2250,4495,2.0,3,7.0,0,2008,0,0,1.0,0.0,0.0,0.0,0.0
57,301000,3,2.5,2420,4750,2.0,3,8.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
58,951000,5,3.25,3250,14342,2.0,4,8.0,0,1968,0,4,1.0,0.0,0.0,0.0,0.0
59,430000,4,3.0,1850,9976,2.0,3,8.0,0,1991,0,0,1.0,0.0,0.0,0.0,0.0
60,650000,3,2.25,2150,21235,1.0,4,8.0,560,1959,0,3,0.0,0.0,1.0,0.0,0.0
61,289000,3,1.75,1260,8400,1.0,3,7.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
62,505000,3,1.75,2519,8690,2.0,5,8.0,0,1973,0,0,1.0,0.0,0.0,0.0,0.0
63,549000,3,1.75,1540,1044,3.0,3,8.0,0,2014,0,0,1.0,0.0,0.0,0.0,0.0
64,425000,3,2.25,1660,6000,1.0,3,7.577170971709717,550,1979,0,0,0.0,0.0,1.0,0.0,0.0
65,317625,3,2.75,2770,3809,1.5,5,7.0,1000,1925,0,0,0.0,0.0,1.0,0.0,0.0
66,975000,4,2.5,2720,11049,2.0,3,10.0,0,1989,0,0,1.0,0.0,0.0,0.0,0.0
67,287000,4,2.5,2240,4648,2.0,3,7.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
68,204000,3,1.0,1000,12070,1.0,4,7.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
