bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,waterfront_encoded,view_encoded,property_typ_apartment,property_typ_multi_generation_house,property_typ_semi_detached_house,property_typ_single_family_house,property_typ_top_floor_apartment
5,1.75,2140,12058,1.0,4,8.0,0,1951,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1130,8100,1.5,3,6.0,0,1934,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2780,32880,1.0,3,9.0,0,1993,0,0,1.0,0.0,0.0,0.0,0.0
2,1.75,1480,4000,1.0,4,6.0,740,1925,0,0,0.0,0.0,1.0,0.0,0.0
3,2.5,2060,9715,2.0,3,8.0,0,1924,0,0,1.0,0.0,0.0,0.0,0.0
5,2.5,3260,24300,1.5,4,8.0,950,1950,0,1,0.0,0.0,1.0,0.0,0.0
2,2.0,1680,4647,1.0,3,8.0,0,2008,0,0,1.0,0.0,0.0,0.0,0.0
4,4.0,4500,11795,2.0,3,12.0,0,1991,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,1950,4949,2.0,3,7.0,0,2009,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2540,6688,2.0,3,9.0,0,2002,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,1788,10183,2.0,4,7.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2020,4861,2.0,3,7.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1260,8280,1.0,3,6.0,0,1946,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,1690,10592,1.0,3,8.0,0,1973,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1130,7014,1.0,3,7.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
5,1.75,1940,6654,1.5,4,7.0,0,1953,0,0,1.0,0.0,0.0,0.0,0.0
2,1.75,1660,11437,2.0,3,7.0,0,1958,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,1840,9900,1.0,3,9.0,0,1978,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,880,7648,1.0,4,6.0,0,1940,0,2,1.0,0.0,0.0,0.0,0.0
3,2.0,1590,8670,1.0,3,7.0,0,1994,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2140,3821,2.0,3,8.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
4,3.5,4910,9444,1.5,3,11.0,1800,2007,0,0,0.0,0.0,0.0,1.0,0.0
3,2.5,1740,4497,2.0,3,7.0,0,2012,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2478,6079,2.0,3,8.0,0,2012,0,0,1.0,0.0,0.0,0.0,0.0
5,1.75,2350,7800,1.0,4,8.0,840,1968,0,0,0.0,0.0,1.0,0.0,0.0
2,1.0,760,3001,1.0,3,6.0,0,1913,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1870,9315,1.0,3,7.0,520,1975,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2420,8056,1.0,3,8.0,740,1988,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2380,7792,2.0,3,8.0,0,1993,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1240,6090,1.0,4,7.0,0,1950,0,0,1.0,0.0,0.0,0.0,0.0
4,2.25,1570,499571,1.0,4,7.0,0,1972,0,3,1.0,0.0,0.0,0.0,0.0
3,1.5,1340,6000,1.0,4,7.0,0,1960,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,3430,28718,1.5,3,10.0,0,1984,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,1550,1905,2.0,3,7.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,970,9600,1.0,3,7.0,0,1972,0,0,1.0,0.0,0.0,0.0,0.0
4,3.75,1980,4095,2.0,3,9.0,0,2009,0,0,1.0,0.0,0.0,0.0,0.0
4,2.75,3210,41689,1.0,4,8.0,1600,1989,0,0,0.0,0.0,1.0,0.0,0.0
